indicator,country,occupation,year,value
percent women,EU,8.82,2023,36.8%
percent unemployed,EU,8.82,2023,3.3%
relative income,EU,8.82,2023,91.8%
total employment,AT,8.82,2023,"19,200"
percent women,AT,8.82,2022,30.6%
total employment,BE,8.82,2023,"35,700"
percent women,BE,8.82,2023,14.4%
total employment,BG,8.82,2023,"40,100"
percent women,BG,8.82,2023,34.8%
total employment,CZ,8.82,2023,"130,000"
percent women,CZ,8.82,2023,52.5%
total employment,DE,8.82,2023,"351,800"
percent women,DE,8.82,2023,29.9%
total employment,DK,8.82,2023,"13,800"
percent women,DK,8.82,2023,21%
total employment,EE,8.82,2023,"9,100"
percent women,EE,8.82,2023,61.9%
total employment,EL,8.82,2023,"4,000"
total employment,ES,8.82,2023,"150,800"
percent women,ES,8.82,2023,23.9%
total employment,FI,8.82,2023,"19,500"
percent women,FI,8.82,2023,23.2%
total employment,FR,8.82,2023,"131,800"
percent women,FR,8.82,2023,21.6%
total employment,HR,8.82,2023,"9,300"
percent women,HR,8.82,2023,38.4%
total employment,HU,8.82,2023,"150,600"
percent women,HU,8.82,2023,54.9%
total employment,IE,8.82,2023,"20,500"
percent women,IE,8.82,2023,57%
total employment,IT,8.82,2023,"161,800"
percent women,IT,8.82,2023,34.5%
total employment,LT,8.82,2023,"10,700"
percent women,LT,8.82,2023,62.4%
total employment,LU,8.82,2017,800
total employment,LV,8.82,2022,"5,800"
total employment,NL,8.82,2023,"25,100"
percent women,NL,8.82,2023,26.6%
total employment,PL,8.82,2023,"137,200"
percent women,PL,8.82,2023,44.8%
total employment,PT,8.82,2023,"33,300"
percent women,PT,8.82,2023,46.1%
total employment,RO,8.82,2023,"142,900"
percent women,RO,8.82,2023,48.6%
total employment,SE,8.82,2023,"40,500"
percent women,SE,8.82,2023,24%
total employment,SI,8.82,2023,"14,200"
percent women,SI,8.82,2023,54.7%
total employment,SK,8.82,2023,"83,600"
percent women,SK,8.82,2023,39.3%
total employment,EU,8.83,2023,"8,609,600"
percent women,EU,8.83,2023,5.3%
percent unemployed,EU,8.83,2023,2.7%
relative income,EU,8.83,2023,101.1%
total employment,AT,8.83,2023,"155,000"
percent women,AT,8.83,2023,6.2%
total employment,BE,8.83,2023,"175,800"
percent women,BE,8.83,2023,4%
total employment,BG,8.83,2023,"221,000"
percent women,BG,8.83,2022,2.6%
total employment,CY,8.83,2023,"15,600"
percent women,CY,8.83,2023,3.2%
total employment,CZ,8.83,2023,"363,500"
percent women,CZ,8.83,2023,9.5%
total employment,DE,8.83,2023,"1,307,700"
percent women,DE,8.83,2023,7.7%
total employment,DK,8.83,2023,"89,200"
percent women,DK,8.83,2023,7.1%
total employment,EE,8.83,2023,"42,500"
percent women,EE,8.83,2022,3.1%
total employment,EL,8.83,2023,"196,600"
percent women,EL,8.83,2023,3.6%
total employment,ES,8.83,2023,"1,056,200"
percent women,ES,8.83,2023,5.6%
total employment,FI,8.83,2023,"126,200"
percent women,FI,8.83,2023,6.7%
total employment,FR,8.83,2023,"1,097,200"
percent women,FR,8.83,2023,7.7%
total employment,HR,8.83,2023,"88,700"
percent women,HR,8.83,2022,1.3%
total employment,HU,8.83,2023,"257,400"
percent women,HU,8.83,2023,2.6%
total employment,IE,8.83,2023,"77,900"
percent women,IE,8.83,2018,2.3%
total employment,IT,8.83,2023,"741,000"
percent women,IT,8.83,2023,2.9%
total employment,LT,8.83,2023,"91,600"
percent women,LT,8.83,2023,2.9%
total employment,LU,8.83,2023,"9,900"
percent women,LU,8.83,2022,5.7%
total employment,LV,8.83,2023,"60,300"
percent women,LV,8.83,2020,4.5%
total employment,NL,8.83,2023,"280,200"
percent women,NL,8.83,2023,8.7%
total employment,PL,8.83,2023,"951,000"
percent women,PL,8.83,2023,2.7%
total employment,PT,8.83,2023,"209,400"
percent women,PT,8.83,2023,5.5%
total employment,RO,8.83,2023,"635,200"
percent women,RO,8.83,2023,1.2%
total employment,SE,8.83,2023,"185,500"
percent women,SE,8.83,2023,11.2%
total employment,SI,8.83,2023,"40,400"
percent women,SI,8.83,2020,2.8%
total employment,SK,8.83,2023,"134,900"
percent women,SK,8.83,2023,3.8%
total employment,EU,8.81,2023,"4,879,100"
percent women,EU,8.81,2023,33.3%
percent unemployed,EU,8.81,2023,3.6%
relative income,EU,8.81,2023,99.6%
total employment,AT,8.81,2023,"58,500"
percent women,AT,8.81,2023,24.8%
total employment,BE,8.81,2023,"85,300"
percent women,BE,8.81,2023,24.9%
total employment,BG,8.81,2023,"133,500"
percent women,BG,8.81,2023,55.5%
total employment,CY,8.81,2023,"3,800"
percent women,CY,8.81,2023,47.2%
total employment,CZ,8.81,2023,"183,800"
percent women,CZ,8.81,2023,42.1%
total employment,DE,8.81,2023,"971,900"
percent women,DE,8.81,2023,20.7%
total employment,DK,8.81,2023,"45,500"
percent women,DK,8.81,2023,23.7%
total employment,EE,8.81,2023,"19,600"
percent women,EE,8.81,2023,46.2%
total employment,EL,8.81,2023,"74,900"
percent women,EL,8.81,2023,35%
total employment,ES,8.81,2023,"477,100"
percent women,ES,8.81,2023,29.6%
total employment,FI,8.81,2023,"52,200"
percent women,FI,8.81,2023,29.6%
total employment,FR,8.81,2023,"589,900"
percent women,FR,8.81,2023,38.5%
total employment,HR,8.81,2023,"56,300"
percent women,HR,8.81,2023,57.9%
total employment,HU,8.81,2023,"189,900"
percent women,HU,8.81,2023,44.6%
total employment,IE,8.81,2023,"30,200"
percent women,IE,8.81,2023,26.6%
total employment,IT,8.81,2023,"662,000"
percent women,IT,8.81,2023,31%
total employment,LT,8.81,2023,"32,300"
percent women,LT,8.81,2023,36.7%
total employment,LU,8.81,2023,"2,400"
percent women,LU,8.81,2018,19.6%
total employment,LV,8.81,2023,"18,100"
percent women,LV,8.81,2023,38.5%
total employment,NL,8.81,2023,"82,600"
percent women,NL,8.81,2023,17.8%
total employment,PL,8.81,2023,"454,900"
percent women,PL,8.81,2023,30.5%
total employment,PT,8.81,2023,"180,800"
percent women,PT,8.81,2023,60.5%
total employment,RO,8.81,2023,"283,100"
percent women,RO,8.81,2023,47.3%
total employment,SE,8.81,2023,"59,600"
percent women,SE,8.81,2023,23.5%
total employment,SI,8.81,2023,"31,100"
percent women,SI,8.81,2023,23.4%
total employment,SK,8.81,2023,"99,600"
percent women,SK,8.81,2023,37.2%
total employment,EU,2,2023,"45,762,400"
percent women,EU,2,2023,53.9%
percent unemployed,EU,2,2023,1.5%
relative income,EU,2,2023,102.7%
total employment,AT,2,2023,"984,900"
percent women,AT,2,2023,53.7%
total employment,BE,2,2023,"1,281,900"
percent women,BE,2,2023,55.3%
total employment,BG,2,2023,"533,600"
percent women,BG,2,2023,63.8%
total employment,CY,2,2023,"109,000"
percent women,CY,2,2023,55%
total employment,CZ,2,2023,"983,500"
percent women,CZ,2,2023,51.6%
total employment,DE,2,2023,"9,856,400"
percent women,DE,2,2023,50.1%
total employment,DK,2,2023,"862,000"
percent women,DK,2,2023,55.5%
total employment,EE,2,2023,"173,800"
percent women,EE,2,2023,64.8%
total employment,EL,2,2023,"905,500"
percent women,EL,2,2023,55.9%
total employment,ES,2,2023,"4,067,300"
percent women,ES,2,2023,57.9%
total employment,FI,2,2023,"719,400"
percent women,FI,2,2023,49.6%
total employment,FR,2,2023,"6,895,000"
percent women,FR,2,2023,50.2%
total employment,HR,2,2023,"334,400"
percent women,HR,2,2023,61.6%
total employment,HU,2,2023,"890,300"
percent women,HU,2,2023,52.7%
total employment,IE,2,2023,"765,300"
percent women,IE,2,2023,54.6%
total employment,IT,2,2023,"3,659,200"
percent women,IT,2,2023,54.1%
total employment,LT,2,2023,"417,900"
percent women,LT,2,2023,64.6%
total employment,LU,2,2023,"145,100"
percent women,LU,2,2023,48.7%
total employment,LV,2,2023,"189,700"
percent women,LV,2,2023,65.8%
total employment,MT,2,2023,"61,500"
percent women,MT,2,2023,48.8%
total employment,NL,2,2023,"3,010,300"
percent women,NL,2,2023,48.5%
total employment,PL,2,2023,"4,047,300"
percent women,PL,2,2023,60.7%
total employment,PT,2,2023,"1,073,300"
percent women,PT,2,2023,57.4%
total employment,RO,2,2023,"1,351,300"
percent women,RO,2,2023,60.4%
total employment,SE,2,2023,"1,777,500"
percent women,SE,2,2023,55.5%
total employment,SI,2,2023,"225,500"
percent women,SI,2,2023,60.6%
total employment,SK,2,2023,"441,700"
percent women,SK,2,2023,59.2%
total employment,EU,2.22,2023,"6,204,000"
percent women,EU,2.22,2023,70.3%
percent unemployed,EU,2.22,2023,0.8%
relative income,EU,2.22,2023,97.2%
total employment,AT,2.22,2023,"190,700"
percent women,AT,2.22,2023,73.1%
total employment,BE,2.22,2023,"207,400"
percent women,BE,2.22,2023,69.6%
total employment,BG,2.22,2023,"84,600"
percent women,BG,2.22,2023,73.3%
total employment,CY,2.22,2023,"15,900"
percent women,CY,2.22,2023,63.5%
total employment,CZ,2.22,2023,"134,200"
percent women,CZ,2.22,2023,78.6%
total employment,DE,2.22,2023,"1,079,900"
percent women,DE,2.22,2023,64.6%
total employment,DK,2.22,2023,"145,000"
percent women,DK,2.22,2023,81.3%
total employment,EE,2.22,2023,"20,400"
percent women,EE,2.22,2023,84.1%
total employment,EL,2.22,2023,"182,300"
percent women,EL,2.22,2023,63.7%
total employment,ES,2.22,2023,"791,900"
percent women,ES,2.22,2023,71.6%
total employment,FI,2.22,2023,"38,900"
percent women,FI,2.22,2023,66.5%
total employment,FR,2.22,2023,"830,600"
percent women,FR,2.22,2023,63.5%
total employment,HR,2.22,2023,"37,000"
percent women,HR,2.22,2023,72.9%
total employment,HU,2.22,2023,"69,400"
percent women,HU,2.22,2023,72.2%
total employment,IE,2.22,2023,"153,000"
percent women,IE,2.22,2023,82.1%
total employment,IT,2.22,2023,"359,600"
percent women,IT,2.22,2023,50.4%
total employment,LT,2.22,2023,"54,500"
percent women,LT,2.22,2023,86%
total employment,LU,2.22,2023,"8,100"
percent women,LU,2.22,2023,73%
total employment,LV,2.22,2023,"27,800"
percent women,LV,2.22,2023,91.2%
total employment,NL,2.22,2023,"402,600"
percent women,NL,2.22,2023,73.2%
total employment,PL,2.22,2023,"606,700"
percent women,PL,2.22,2023,81.1%
total employment,PT,2.22,2023,"197,900"
percent women,PT,2.22,2023,73%
total employment,RO,2.22,2023,"220,700"
percent women,RO,2.22,2023,80%
total employment,SE,2.22,2023,"266,700"
percent women,SE,2.22,2023,75.7%
total employment,SI,2.22,2023,"32,300"
percent women,SI,2.22,2023,75.9%
total employment,SK,2.22,2023,"46,100"
percent women,SK,2.22,2023,71.4%
total employment,EU,2.25,2023,"4,994,800"
percent women,EU,2.25,2023,19%
percent unemployed,EU,2.25,2023,1.4%
relative income,EU,2.25,2023,120.5%
total employment,AT,2.25,2023,"121,900"
percent women,AT,2.25,2023,15.6%
total employment,BE,2.25,2023,"161,600"
percent women,BE,2.25,2023,19.4%
total employment,BG,2.25,2023,"66,100"
percent women,BG,2.25,2023,28.7%
total employment,CY,2.25,2023,"15,400"
percent women,CY,2.25,2023,25.4%
total employment,CZ,2.25,2023,"115,800"
percent women,CZ,2.25,2023,11.1%
total employment,DE,2.25,2023,"1,089,900"
percent women,DE,2.25,2023,17.5%
total employment,DK,2.25,2023,"100,300"
percent women,DK,2.25,2023,18.7%
total employment,EE,2.25,2023,"28,100"
percent women,EE,2.25,2023,28%
total employment,EL,2.25,2023,"47,300"
percent women,EL,2.25,2023,23.9%
total employment,ES,2.25,2023,"216,900"
percent women,ES,2.25,2023,22.5%
total employment,FI,2.25,2023,"116,100"
percent women,FI,2.25,2023,21.2%
total employment,FR,2.25,2023,"871,000"
percent women,FR,2.25,2023,19.5%
total employment,HR,2.25,2023,"31,800"
percent women,HR,2.25,2023,19.1%
total employment,HU,2.25,2023,"119,900"
percent women,HU,2.25,2023,14.6%
total employment,IE,2.25,2023,"97,600"
percent women,IE,2.25,2023,22.4%
total employment,IT,2.25,2023,"235,400"
percent women,IT,2.25,2023,17.9%
total employment,LT,2.25,2023,"47,500"
percent women,LT,2.25,2023,21.1%
total employment,LU,2.25,2023,"16,100"
percent women,LU,2.25,2023,21%
total employment,LV,2.25,2023,"25,000"
percent women,LV,2.25,2020,20.8%
total employment,NL,2.25,2023,"440,400"
percent women,NL,2.25,2023,15.9%
total employment,PL,2.25,2023,"437,600"
percent women,PL,2.25,2023,18.9%
total employment,PT,2.25,2023,"127,900"
percent women,PT,2.25,2023,18.6%
total employment,RO,2.25,2023,"94,900"
percent women,RO,2.25,2023,26.8%
total employment,SE,2.25,2023,"292,900"
percent women,SE,2.25,2023,24.7%
total employment,SI,2.25,2023,"19,400"
percent women,SI,2.25,2023,16.9%
total employment,SK,2.25,2023,"58,000"
percent women,SK,2.25,2023,17.2%
total employment,EU,2.26,2023,"6,263,800"
percent women,EU,2.26,2023,60.9%
percent unemployed,EU,2.26,2023,1.9%
relative income,EU,2.26,2023,91.4%
total employment,AT,2.26,2023,"137,600"
percent women,AT,2.26,2023,57.1%
total employment,BE,2.26,2023,"185,400"
percent women,BE,2.26,2023,66.2%
total employment,BG,2.26,2023,"76,700"
percent women,BG,2.26,2023,61.8%
total employment,CY,2.26,2023,"14,600"
percent women,CY,2.26,2023,59.8%
total employment,CZ,2.26,2023,"123,300"
percent women,CZ,2.26,2023,50.4%
total employment,DE,2.26,2023,"1,498,100"
percent women,DE,2.26,2023,60.2%
total employment,DK,2.26,2023,"95,200"
percent women,DK,2.26,2023,61.8%
total employment,EE,2.26,2023,"20,500"
percent women,EE,2.26,2023,69%
total employment,EL,2.26,2023,"150,900"
percent women,EL,2.26,2023,65.9%
total employment,ES,2.26,2023,"610,900"
percent women,ES,2.26,2023,59.3%
total employment,FI,2.26,2023,"86,400"
percent women,FI,2.26,2023,61.9%
total employment,FR,2.26,2023,"899,200"
percent women,FR,2.26,2023,64.4%
total employment,HR,2.26,2023,"74,800"
percent women,HR,2.26,2023,65.3%
total employment,HU,2.26,2023,"146,600"
percent women,HU,2.26,2023,59.4%
total employment,IE,2.26,2023,"70,600"
percent women,IE,2.26,2023,53.3%
total employment,IT,2.26,2023,"549,500"
percent women,IT,2.26,2023,51.4%
total employment,LT,2.26,2023,"46,500"
percent women,LT,2.26,2023,70.2%
total employment,LU,2.26,2023,"28,300"
percent women,LU,2.26,2023,58.2%
total employment,LV,2.26,2023,"20,100"
percent women,LV,2.26,2023,72.4%
total employment,NL,2.26,2023,"409,500"
percent women,NL,2.26,2023,63.3%
total employment,PL,2.26,2023,"410,800"
percent women,PL,2.26,2023,61.1%
total employment,PT,2.26,2023,"118,600"
percent women,PT,2.26,2023,67.9%
total employment,RO,2.26,2023,"149,700"
percent women,RO,2.26,2023,61.9%
total employment,SE,2.26,2023,"245,100"
percent women,SE,2.26,2023,65.2%
total employment,SI,2.26,2023,"33,900"
percent women,SI,2.26,2023,68.5%
total employment,SK,2.26,2023,"61,000"
percent women,SK,2.26,2023,66%
total employment,EU,2.24,2023,"9,460,800"
percent women,EU,2.24,2023,53.1%
percent unemployed,EU,2.24,2023,2%
relative income,EU,2.24,2023,107.2%
total employment,AT,2.24,2023,"145,400"
percent women,AT,2.24,2023,50.7%
total employment,BE,2.24,2023,"212,200"
percent women,BE,2.24,2023,50.2%
total employment,BG,2.24,2023,"130,600"
percent women,BG,2.24,2023,73%
total employment,CY,2.24,2023,"20,200"
percent women,CY,2.24,2023,57.1%
total employment,CZ,2.24,2023,"182,700"
percent women,CZ,2.24,2023,50.1%
total employment,DE,2.24,2023,"1,751,000"
percent women,DE,2.24,2023,45.4%
total employment,DK,2.24,2023,"213,700"
percent women,DK,2.24,2023,51.4%
total employment,EE,2.24,2023,"41,800"
percent women,EE,2.24,2023,76.6%
total employment,EL,2.24,2023,"113,800"
percent women,EL,2.24,2023,49.7%
total employment,ES,2.24,2023,"572,100"
percent women,ES,2.24,2023,57.4%
total employment,FI,2.24,2023,"166,300"
percent women,FI,2.24,2023,56.7%
total employment,FR,2.24,2023,"1,685,400"
percent women,FR,2.24,2023,50.8%
total employment,HR,2.24,2023,"44,300"
percent women,HR,2.24,2023,68.3%
total employment,HU,2.24,2023,"157,100"
percent women,HU,2.24,2023,59.8%
total employment,IE,2.24,2023,"168,600"
percent women,IE,2.24,2023,46.9%
total employment,IT,2.24,2023,"549,400"
percent women,IT,2.24,2023,44.3%
total employment,LT,2.24,2023,"155,800"
percent women,LT,2.24,2023,70.1%
total employment,LU,2.24,2023,"59,100"
percent women,LU,2.24,2023,47.4%
total employment,LV,2.24,2023,"44,000"
percent women,LV,2.24,2023,68.6%
total employment,NL,2.24,2023,"880,500"
percent women,NL,2.24,2023,45.3%
total employment,PL,2.24,2023,"1,092,900"
percent women,PL,2.24,2023,63.4%
total employment,PT,2.24,2023,"195,500"
percent women,PT,2.24,2023,62.6%
total employment,RO,2.24,2023,"354,000"
percent women,RO,2.24,2023,70.3%
total employment,SE,2.24,2023,"401,400"
percent women,SE,2.24,2023,53.3%
total employment,SI,2.24,2023,"36,800"
percent women,SI,2.24,2023,62.2%
total employment,SK,2.24,2023,"86,000"
percent women,SK,2.24,2023,64.4%
total employment,EU,2.21,2023,"7,448,600"
percent women,EU,2.21,2023,30.2%
percent unemployed,EU,2.21,2023,1.5%
relative income,EU,2.21,2023,112.3%
total employment,AT,2.21,2023,"147,700"
percent women,AT,2.21,2023,30.9%
total employment,BE,2.21,2023,"164,100"
percent women,BE,2.21,2023,30.8%
total employment,BG,2.21,2023,"74,500"
percent women,BG,2.21,2023,41.3%
total employment,CY,2.21,2023,"18,400"
percent women,CY,2.21,2023,37.2%
total employment,CZ,2.21,2023,"175,900"
percent women,CZ,2.21,2023,27.9%
total employment,DE,2.21,2023,"1,812,300"
percent women,DE,2.21,2023,26%
total employment,DK,2.21,2023,"101,700"
percent women,DK,2.21,2023,38.8%
total employment,EE,2.21,2023,"23,500"
percent women,EE,2.21,2023,38%
total employment,EL,2.21,2023,"151,400"
percent women,EL,2.21,2023,28.6%
total employment,ES,2.21,2023,"626,800"
percent women,ES,2.21,2023,32.6%
total employment,FI,2.21,2023,"171,100"
percent women,FI,2.21,2023,30.2%
total employment,FR,2.21,2023,"1,206,400"
percent women,FR,2.21,2023,32.1%
total employment,HR,2.21,2023,"51,700"
percent women,HR,2.21,2023,38.1%
total employment,HU,2.21,2023,"154,600"
percent women,HU,2.21,2023,24.4%
total employment,IE,2.21,2023,"120,200"
percent women,IE,2.21,2023,30%
total employment,IT,2.21,2023,"636,000"
percent women,IT,2.21,2023,30.6%
total employment,LT,2.21,2023,"47,600"
percent women,LT,2.21,2023,29.8%
total employment,LU,2.21,2023,"14,700"
percent women,LU,2.21,2023,30.8%
total employment,LV,2.21,2023,"27,800"
percent women,LV,2.21,2023,37.9%
total employment,NL,2.21,2023,"370,500"
percent women,NL,2.21,2023,28.3%
total employment,PL,2.21,2023,"595,700"
percent women,PL,2.21,2023,35.6%
total employment,PT,2.21,2023,"175,600"
percent women,PT,2.21,2023,33.6%
total employment,RO,2.21,2023,"266,400"
percent women,RO,2.21,2023,22.5%
total employment,SE,2.21,2023,"212,100"
percent women,SE,2.21,2023,37.5%
total employment,SI,2.21,2023,"44,800"
percent women,SI,2.21,2023,33.8%
total employment,SK,2.21,2023,"57,200"
percent women,SK,2.21,2023,21.7%
total employment,EU,2.23,2023,"11,232,400"
percent women,EU,2.23,2023,72.8%
percent unemployed,EU,2.23,2023,1.5%
relative income,EU,2.23,2023,87.2%
total employment,AT,2.23,2023,"241,600"
percent women,AT,2.23,2023,71.4%
total employment,BE,2.23,2023,"351,100"
percent women,BE,2.23,2023,72.2%
total employment,BG,2.23,2023,"101,100"
percent women,BG,2.23,2023,84.8%
total employment,CY,2.23,2023,"24,500"
percent women,CY,2.23,2023,77.1%
total employment,CZ,2.23,2023,"251,500"
percent women,CZ,2.23,2023,74.3%
total employment,DE,2.23,2023,"2,625,100"
percent women,DE,2.23,2023,71.6%
total employment,DK,2.23,2023,"206,100"
percent women,DK,2.23,2023,64.8%
total employment,EE,2.23,2023,"39,500"
percent women,EE,2.23,2023,82.4%
total employment,EL,2.23,2023,"259,800"
percent women,EL,2.23,2023,69.1%
total employment,ES,2.23,2023,"1,248,600"
percent women,ES,2.23,2023,67.5%
total employment,FI,2.23,2023,"140,700"
percent women,FI,2.23,2023,76%
total employment,FR,2.23,2023,"1,330,300"
percent women,FR,2.23,2023,68.1%
total employment,HR,2.23,2023,"94,800"
percent women,HR,2.23,2023,78%
total employment,HU,2.23,2023,"242,700"
percent women,HU,2.23,2023,75.2%
total employment,IE,2.23,2023,"155,400"
percent women,IE,2.23,2023,75.8%
total employment,IT,2.23,2023,"1,329,400"
percent women,IT,2.23,2023,78%
total employment,LT,2.23,2023,"66,000"
percent women,LT,2.23,2023,86%
total employment,LU,2.23,2023,"18,800"
percent women,LU,2.23,2023,65.9%
total employment,LV,2.23,2023,"45,100"
percent women,LV,2.23,2023,86.4%
total employment,NL,2.23,2023,"483,900"
percent women,NL,2.23,2023,66.7%
total employment,PL,2.23,2023,"902,000"
percent women,PL,2.23,2023,80.4%
total employment,PT,2.23,2023,"257,800"
percent women,PT,2.23,2023,71.9%
total employment,RO,2.23,2023,"265,500"
percent women,RO,2.23,2023,80.2%
total employment,SE,2.23,2023,"359,300"
percent women,SE,2.23,2023,72.1%
total employment,SI,2.23,2023,"58,300"
percent women,SI,2.23,2023,81.8%
total employment,SK,2.23,2023,"133,500"
percent women,SK,2.23,2023,82.9%
total employment,EU,5,2023,"32,947,100"
percent women,EU,5,2023,63.9%
percent unemployed,EU,5,2023,4.1%
relative income,EU,5,2023,110.3%
total employment,AT,5,2023,"770,900"
percent women,AT,5,2023,66.1%
total employment,BE,5,2023,"638,000"
percent women,BE,5,2023,65%
total employment,BG,5,2023,"580,200"
percent women,BG,5,2023,63.3%
total employment,CY,5,2023,"87,000"
percent women,CY,5,2023,58.4%
total employment,CZ,5,2023,"773,300"
percent women,CZ,5,2023,67.8%
total employment,DE,5,2023,"5,886,600"
percent women,DE,5,2023,61.6%
total employment,DK,5,2023,"547,300"
percent women,DK,5,2023,63.1%
total employment,EE,5,2023,"85,400"
percent women,EE,5,2023,79%
total employment,EL,5,2023,"984,700"
percent women,EL,5,2023,51.1%
total employment,ES,5,2023,"4,402,400"
percent women,ES,5,2023,61.1%
total employment,FI,5,2023,"482,100"
percent women,FI,5,2023,72.6%
total employment,FR,5,2023,"4,151,200"
percent women,FR,5,2023,69.2%
total employment,HR,5,2023,"297,900"
percent women,HR,5,2023,62.6%
total employment,HU,5,2023,"684,700"
percent women,HU,5,2023,61.3%
total employment,IE,5,2023,"460,500"
percent women,IE,5,2023,63.1%
total employment,IT,5,2023,"4,082,500"
percent women,IT,5,2023,60.3%
total employment,LT,5,2023,"172,400"
percent women,LT,5,2023,74.6%
total employment,LU,5,2023,"30,600"
percent women,LU,5,2023,58%
total employment,LV,5,2023,"125,100"
percent women,LV,5,2023,73.6%
total employment,MT,5,2023,"57,000"
percent women,MT,5,2023,57.7%
total employment,NL,5,2023,"1,693,300"
percent women,NL,5,2023,67.4%
total employment,PL,5,2023,"2,197,200"
percent women,PL,5,2023,66.4%
total employment,PT,5,2023,"967,300"
percent women,PT,5,2023,66.4%
total employment,RO,5,2023,"1,327,600"
percent women,RO,5,2023,67%
total employment,SE,5,2023,"876,400"
percent women,SE,5,2023,64.6%
total employment,SI,5,2023,"136,200"
percent women,SI,5,2023,61.6%
total employment,SK,5,2023,"449,400"
percent women,SK,5,2023,66.7%
total employment,EU,5.53,2023,"6,629,800"
percent women,EU,5.53,2023,88.2%
percent unemployed,EU,5.53,2023,4.2%
relative income,EU,5.53,2023,101.5%
total employment,AT,5.53,2023,"148,900"
percent women,AT,5.53,2023,87.4%
total employment,BE,5.53,2023,"161,400"
percent women,BE,5.53,2023,91.3%
total employment,BG,5.53,2023,"64,900"
percent women,BG,5.53,2023,87.9%
total employment,CY,5.53,2023,"7,300"
percent women,CY,5.53,2023,91.9%
total employment,CZ,5.53,2023,"149,200"
percent women,CZ,5.53,2023,84.6%
total employment,DE,5.53,2023,"781,300"
percent women,DE,5.53,2023,84%
total employment,DK,5.53,2023,"226,100"
percent women,DK,5.53,2023,79.3%
total employment,EE,5.53,2023,"18,700"
percent women,EE,5.53,2023,97.7%
total employment,EL,5.53,2023,"44,900"
percent women,EL,5.53,2023,77.7%
total employment,ES,5.53,2023,"831,900"
percent women,ES,5.53,2023,89.2%
total employment,FI,5.53,2023,"194,000"
percent women,FI,5.53,2023,91.1%
total employment,FR,5.53,2023,"1,405,700"
percent women,FR,5.53,2023,93.9%
total employment,HR,5.53,2023,"29,000"
percent women,HR,5.53,2023,92.5%
total employment,HU,5.53,2023,"75,200"
percent women,HU,5.53,2023,92.4%
total employment,IE,5.53,2023,"137,800"
percent women,IE,5.53,2023,84.2%
total employment,IT,5.53,2023,"762,100"
percent women,IT,5.53,2023,86.4%
total employment,LT,5.53,2023,"21,300"
percent women,LT,5.53,2023,92.3%
total employment,LU,5.53,2023,"8,200"
percent women,LU,5.53,2023,84.8%
total employment,LV,5.53,2023,"22,800"
percent women,LV,5.53,2023,96.2%
total employment,NL,5.53,2023,"451,300"
percent women,NL,5.53,2023,89.7%
total employment,PL,5.53,2023,"204,800"
percent women,PL,5.53,2023,88.6%
total employment,PT,5.53,2023,"242,600"
percent women,PT,5.53,2023,93.4%
total employment,RO,5.53,2023,"121,800"
percent women,RO,5.53,2023,91.1%
total employment,SE,5.53,2023,"427,400"
percent women,SE,5.53,2023,77.2%
total employment,SI,5.53,2023,"18,900"
percent women,SI,5.53,2023,80.4%
total employment,SK,5.53,2023,"72,400"
percent women,SK,5.53,2023,87.1%
total employment,EU,5.51,2023,"9,158,000"
percent women,EU,5.51,2023,58.8%
percent unemployed,EU,5.51,2023,5.1%
relative income,EU,5.51,2023,94.2%
total employment,AT,5.51,2023,"247,600"
percent women,AT,5.51,2023,56%
total employment,BE,5.51,2023,"168,800"
percent women,BE,5.51,2023,55.7%
total employment,BG,5.51,2023,"135,300"
percent women,BG,5.51,2023,75.8%
total employment,CY,5.51,2023,"30,800"
percent women,CY,5.51,2023,52.8%
total employment,CZ,5.51,2023,"252,000"
percent women,CZ,5.51,2023,66.9%
total employment,DE,5.51,2023,"2,037,100"
percent women,DE,5.51,2023,55.5%
total employment,DK,5.51,2023,"110,200"
percent women,DK,5.51,2023,47%
total employment,EE,5.51,2023,"26,300"
percent women,EE,5.51,2023,81.3%
total employment,EL,5.51,2023,"259,300"
percent women,EL,5.51,2023,52.7%
total employment,ES,5.51,2023,"1,021,300"
percent women,ES,5.51,2023,55.8%
total employment,FI,5.51,2023,"116,100"
percent women,FI,5.51,2023,58.9%
total employment,FR,5.51,2023,"1,050,300"
percent women,FR,5.51,2023,60.2%
total employment,HR,5.51,2023,"96,900"
percent women,HR,5.51,2023,57.8%
total employment,HU,5.51,2023,"194,000"
percent women,HU,5.51,2023,57.8%
total employment,IE,5.51,2023,"123,600"
percent women,IE,5.51,2023,60.2%
total employment,IT,5.51,2023,"1,327,700"
percent women,IT,5.51,2023,58.1%
total employment,LT,5.51,2023,"55,400"
percent women,LT,5.51,2023,78.3%
total employment,LU,5.51,2023,"10,500"
percent women,LU,5.51,2023,46.4%
total employment,LV,5.51,2023,"40,200"
percent women,LV,5.51,2023,71.8%
total employment,NL,5.51,2023,"477,700"
percent women,NL,5.51,2023,61.1%
total employment,PL,5.51,2023,"516,700"
percent women,PL,5.51,2023,66%
total employment,PT,5.51,2023,"225,500"
percent women,PT,5.51,2023,67.3%
total employment,RO,5.51,2023,"267,000"
percent women,RO,5.51,2023,64.8%
total employment,SE,5.51,2023,"183,700"
percent women,SE,5.51,2023,51.8%
total employment,SI,5.51,2023,"47,700"
percent women,SI,5.51,2023,58.2%
