indicator,country,occupation,year,value
total employment,PL,4,2023,"1,290,600"
percent women,PL,4,2023,60.5%
total employment,PT,4,2023,"460,600"
percent women,PT,4,2023,63.5%
total employment,RO,4,2023,"360,400"
percent women,RO,4,2023,65.9%
total employment,SE,4,2023,"322,600"
percent women,SE,4,2023,59.4%
total employment,SI,4,2023,"75,100"
percent women,SI,4,2023,58.2%
total employment,SK,4,2023,"261,400"
percent women,SK,4,2023,74.4%
total employment,EU,4.43,2023,"6,139,800"
percent women,EU,4.43,2023,47.8%
percent unemployed,EU,4.43,2023,2.5%
relative income,EU,4.43,2023,105.8%
total employment,AT,4.43,2023,"134,900"
percent women,AT,4.43,2023,52.8%
total employment,BE,4.43,2023,"185,300"
percent women,BE,4.43,2023,42.8%
total employment,BG,4.43,2023,"71,100"
percent women,BG,4.43,2023,57.8%
total employment,CY,4.43,2023,"14,500"
percent women,CY,4.43,2023,60%
total employment,CZ,4.43,2023,"158,100"
percent women,CZ,4.43,2023,66%
total employment,DE,4.43,2023,"1,599,800"
percent women,DE,4.43,2023,43.1%
total employment,DK,4.43,2023,"61,200"
percent women,DK,4.43,2023,55.5%
total employment,EE,4.43,2023,"24,400"
percent women,EE,4.43,2023,50.9%
total employment,EL,4.43,2023,"71,900"
percent women,EL,4.43,2023,35.5%
total employment,ES,4.43,2023,"588,500"
percent women,ES,4.43,2023,54.7%
total employment,FI,4.43,2023,"33,600"
percent women,FI,4.43,2023,60%
total employment,FR,4.43,2023,"742,600"
percent women,FR,4.43,2023,54.4%
total employment,HR,4.43,2023,"61,400"
percent women,HR,4.43,2023,60.7%
total employment,HU,4.43,2023,"158,600"
percent women,HU,4.43,2023,50.6%
total employment,IE,4.43,2023,"55,400"
percent women,IE,4.43,2023,62.5%
total employment,IT,4.43,2023,"703,800"
percent women,IT,4.43,2023,47.1%
total employment,LT,4.43,2023,"25,500"
percent women,LT,4.43,2023,62.2%
total employment,LU,4.43,2023,"6,100"
percent women,LU,4.43,2023,37%
total employment,LV,4.43,2023,"19,800"
percent women,LV,4.43,2023,57.8%
total employment,NL,4.43,2023,"369,800"
percent women,NL,4.43,2023,44%
total employment,PL,4.43,2023,"493,200"
percent women,PL,4.43,2023,34.1%
total employment,PT,4.43,2023,"101,500"
percent women,PT,4.43,2023,31.6%
total employment,RO,4.43,2023,"131,400"
percent women,RO,4.43,2023,53.5%
total employment,SE,4.43,2023,"182,000"
percent women,SE,4.43,2023,50.7%
total employment,SI,4.43,2023,"27,900"
percent women,SI,4.43,2023,34.2%
total employment,SK,4.43,2023,"117,200"
percent women,SK,4.43,2023,61.7%
total employment,EU,4.42,2023,"3,559,600"
percent women,EU,4.42,2023,70.1%
percent unemployed,EU,4.42,2023,4.5%
relative income,EU,4.42,2023,91.1%
total employment,AT,4.42,2023,"66,500"
percent women,AT,4.42,2023,70.3%
total employment,BE,4.42,2023,"47,400"
percent women,BE,4.42,2023,68.4%
total employment,BG,4.42,2023,"51,100"
percent women,BG,4.42,2023,72.6%
total employment,CY,4.42,2023,"10,700"
percent women,CY,4.42,2023,61.8%
total employment,CZ,4.42,2023,"50,300"
percent women,CZ,4.42,2023,72.4%
total employment,DE,4.42,2023,"624,600"
percent women,DE,4.42,2023,64.3%
total employment,DK,4.42,2023,"33,400"
percent women,DK,4.42,2023,70.8%
total employment,EE,4.42,2023,"14,200"
percent women,EE,4.42,2023,82.2%
total employment,EL,4.42,2023,"71,700"
percent women,EL,4.42,2023,71.4%
total employment,ES,4.42,2023,"952,700"
percent women,ES,4.42,2023,72.9%
total employment,FI,4.42,2023,"39,500"
percent women,FI,4.42,2023,83%
total employment,FR,4.42,2023,"308,000"
percent women,FR,4.42,2023,76.3%
total employment,HR,4.42,2023,"29,100"
percent women,HR,4.42,2023,87.6%
total employment,HU,4.42,2023,"60,500"
percent women,HU,4.42,2023,73.7%
total employment,IE,4.42,2023,"53,000"
percent women,IE,4.42,2023,66.9%
total employment,IT,4.42,2023,"499,500"
percent women,IT,4.42,2023,64%
total employment,LT,4.42,2023,"14,100"
percent women,LT,4.42,2023,67.7%
total employment,LU,4.42,2023,"4,400"
percent women,LU,4.42,2023,61.3%
total employment,LV,4.42,2023,"16,000"
percent women,LV,4.42,2023,77.8%
total employment,NL,4.42,2023,"189,600"
percent women,NL,4.42,2023,68.9%
total employment,PL,4.42,2023,"157,200"
percent women,PL,4.42,2023,78.1%
total employment,PT,4.42,2023,"96,300"
percent women,PT,4.42,2023,61.8%
total employment,RO,4.42,2023,"59,400"
percent women,RO,4.42,2023,75.8%
total employment,SE,4.42,2023,"65,100"
percent women,SE,4.42,2023,69.5%
total employment,SI,4.42,2023,"12,900"
percent women,SI,4.42,2023,64.4%
total employment,SK,4.42,2023,"32,200"
percent women,SK,4.42,2023,75.8%
total employment,EU,4.41,2023,"8,495,500"
percent women,EU,4.41,2023,78%
percent unemployed,EU,4.41,2023,2.2%
relative income,EU,4.41,2023,100.4%
total employment,AT,4.41,2023,"189,700"
percent women,AT,4.41,2023,82%
total employment,BE,4.41,2023,"328,000"
percent women,BE,4.41,2023,70.8%
total employment,BG,4.41,2023,"33,100"
percent women,BG,4.41,2023,77.9%
total employment,CY,4.41,2023,"24,200"
percent women,CY,4.41,2023,86.6%
total employment,CZ,4.41,2023,"101,000"
percent women,CZ,4.41,2023,88.2%
total employment,DE,4.41,2023,"2,903,100"
percent women,DE,4.41,2023,79%
total employment,DK,4.41,2023,"74,000"
percent women,DK,4.41,2023,79.9%
total employment,EE,4.41,2023,"3,500"
percent women,EE,4.41,2023,84.2%
total employment,EL,4.41,2023,"263,300"
percent women,EL,4.41,2023,62.8%
total employment,ES,4.41,2023,"527,700"
percent women,ES,4.41,2023,71.9%
total employment,FI,4.41,2023,"35,200"
percent women,FI,4.41,2023,90.2%
total employment,FR,4.41,2023,"971,400"
percent women,FR,4.41,2023,85.9%
total employment,HR,4.41,2023,"39,000"
percent women,HR,4.41,2023,83.2%
total employment,HU,4.41,2023,"143,800"
percent women,HU,4.41,2023,91.1%
total employment,IE,4.41,2023,"34,200"
percent women,IE,4.41,2023,82.6%
total employment,IT,4.41,2023,"1,551,400"
percent women,IT,4.41,2023,71.7%
total employment,LT,4.41,2023,"10,600"
percent women,LT,4.41,2023,80.1%
total employment,LU,4.41,2023,"6,300"
percent women,LU,4.41,2023,70.3%
total employment,LV,4.41,2023,"8,400"
percent women,LV,4.41,2023,86.7%
total employment,NL,4.41,2023,"149,500"
percent women,NL,4.41,2023,81.4%
total employment,PL,4.41,2023,"552,000"
percent women,PL,4.41,2023,81.9%
total employment,PT,4.41,2023,"250,300"
percent women,PT,4.41,2023,78.8%
total employment,RO,4.41,2023,"134,200"
percent women,RO,4.41,2023,74.8%
total employment,SE,4.41,2023,"49,000"
percent women,SE,4.41,2023,81.4%
total employment,SI,4.41,2023,"26,900"
percent women,SI,4.41,2023,85%
total employment,SK,4.41,2023,"85,600"
percent women,SK,4.41,2023,89.7%
total employment,EU,4.44,2023,"1,581,500"
percent women,EU,4.44,2023,61%
percent unemployed,EU,4.44,2023,4%
relative income,EU,4.44,2023,97%
total employment,AT,4.44,2023,"26,200"
percent women,AT,4.44,2023,46.9%
total employment,BE,4.44,2023,"40,100"
percent women,BE,4.44,2023,54.9%
total employment,BG,4.44,2023,"21,800"
percent women,BG,4.44,2023,81.8%
total employment,CY,4.44,2023,"1,700"
percent women,CY,4.44,2023,74.5%
total employment,CZ,4.44,2023,"44,700"
percent women,CZ,4.44,2023,74.6%
total employment,DE,4.44,2023,"433,100"
percent women,DE,4.44,2023,59.9%
total employment,DK,4.44,2023,"20,000"
percent women,DK,4.44,2023,65%
total employment,EE,4.44,2023,"6,000"
percent women,EE,4.44,2023,54.9%
total employment,EL,4.44,2023,"28,900"
percent women,EL,4.44,2023,56.9%
total employment,ES,4.44,2023,"71,500"
percent women,ES,4.44,2023,57.3%
total employment,FI,4.44,2023,"20,900"
percent women,FI,4.44,2023,68%
total employment,FR,4.44,2023,"232,600"
percent women,FR,4.44,2023,71.7%
total employment,HR,4.44,2023,"8,800"
percent women,HR,4.44,2023,49%
total employment,HU,4.44,2023,"33,700"
percent women,HU,4.44,2023,61.7%
total employment,IE,4.44,2023,"89,100"
percent women,IE,4.44,2023,77.3%
total employment,IT,4.44,2023,"202,500"
percent women,IT,4.44,2023,52.2%
total employment,LT,4.44,2023,"10,400"
percent women,LT,4.44,2023,64.9%
total employment,LU,4.44,2023,"2,200"
percent women,LU,4.44,2022,45.3%
total employment,LV,4.44,2020,"1,700"
percent women,LV,4.44,2020,92.8%
total employment,NL,4.44,2023,"99,400"
percent women,NL,4.44,2023,63.3%
total employment,PL,4.44,2023,"87,000"
percent women,PL,4.44,2023,41.3%
total employment,PT,4.44,2023,"12,500"
percent women,PT,4.44,2023,31.7%
total employment,RO,4.44,2023,"35,400"
percent women,RO,4.44,2023,61.6%
total employment,SE,4.44,2023,"26,600"
percent women,SE,4.44,2023,53.4%
total employment,SI,4.44,2023,"7,400"
percent women,SI,4.44,2023,40.7%
total employment,SK,4.44,2023,"16,500"
percent women,SK,4.44,2023,78.3%
total employment,EU,9,2023,"17,255,700"
percent women,EU,9,2023,53.1%
percent unemployed,EU,9,2023,6.6%
relative income,EU,9,2023,93.1%
total employment,AT,9,2023,"349,600"
percent women,AT,9,2023,57.7%
total employment,BE,9,2023,"486,900"
percent women,BE,9,2023,59.5%
total employment,BG,9,2023,"343,600"
percent women,BG,9,2023,42.5%
total employment,CY,9,2023,"64,000"
percent women,CY,9,2023,63%
total employment,CZ,9,2023,"265,400"
percent women,CZ,9,2023,63.2%
total employment,DE,9,2023,"3,195,100"
percent women,DE,9,2023,53.9%
total employment,DK,9,2023,"310,600"
percent women,DK,9,2023,43.4%
total employment,EE,9,2023,"57,600"
percent women,EE,9,2023,58.2%
total employment,EL,9,2023,"269,000"
