indicator,country,occupation,year,value
total employment,IE,3.33,2022,"152,700"
percent women,IE,3.33,2022,59%
total employment,IT,3.33,2022,"1,613,000"
percent women,IT,3.33,2022,42%
total employment,LT,3.33,2022,"64,900"
percent women,LT,3.33,2022,63%
total employment,LU,3.33,2022,"26,100"
percent women,LU,3.33,2022,56.8%
total employment,LV,3.33,2022,"72,100"
percent women,LV,3.33,2022,67.1%
total employment,NL,3.33,2022,"636,900"
percent women,NL,3.33,2022,49.8%
total employment,PL,3.33,2022,"1,103,700"
percent women,PL,3.33,2022,60.1%
total employment,PT,3.33,2022,"286,800"
percent women,PT,3.33,2022,49.6%
total employment,RO,3.33,2022,"246,900"
percent women,RO,3.33,2022,55.9%
total employment,SE,3.33,2022,"453,300"
percent women,SE,3.33,2022,53.5%
total employment,SI,3.33,2022,"75,600"
percent women,SI,3.33,2022,58.7%
total employment,SK,3.33,2022,"171,500"
percent women,SK,3.33,2022,64.2%
total employment,EU,3.31,2022,"6,978,000"
percent women,EU,3.31,2022,19.5%
percent unemployed,EU,3.31,2022,1.7%
relative income,EU,3.31,2020,110.1%
total employment,AT,3.31,2022,"217,300"
percent women,AT,3.31,2022,8.4%
total employment,BE,3.31,2022,"141,800"
percent women,BE,3.31,2022,19%
total employment,BG,3.31,2022,"71,400"
percent women,BG,3.31,2022,16.1%
total employment,CY,3.31,2022,"8,800"
percent women,CY,3.31,2022,15.4%
total employment,CZ,3.31,2022,"244,000"
percent women,CZ,3.31,2022,16.4%
total employment,DE,3.31,2022,"1,826,300"
percent women,DE,3.31,2022,20.5%
total employment,DK,3.31,2022,"141,000"
percent women,DK,3.31,2022,16.4%
total employment,EE,3.31,2022,"24,600"
percent women,EE,3.31,2022,15.1%
total employment,EL,3.31,2022,"61,000"
percent women,EL,3.31,2022,12.5%
total employment,ES,3.31,2022,"472,100"
percent women,ES,3.31,2022,23%
total employment,FI,3.31,2022,"102,700"
percent women,FI,3.31,2022,22.8%
total employment,FR,3.31,2022,"940,000"
percent women,FR,3.31,2022,20.1%
total employment,HR,3.31,2022,"65,500"
percent women,HR,3.31,2022,15.7%
total employment,HU,3.31,2022,"124,000"
percent women,HU,3.31,2022,26.1%
total employment,IE,3.31,2022,"44,400"
percent women,IE,3.31,2022,31.1%
total employment,IT,3.31,2022,"913,300"
percent women,IT,3.31,2022,17.6%
total employment,LT,3.31,2022,"29,500"
percent women,LT,3.31,2022,21.8%
total employment,LU,3.31,2022,"5,600"
percent women,LU,3.31,2022,10.7%
total employment,LV,3.31,2022,"22,200"
total employment,NL,3.31,2022,"251,400"
percent women,NL,3.31,2022,15%
total employment,PL,3.31,2022,"644,300"
percent women,PL,3.31,2022,23.4%
total employment,PT,3.31,2022,"103,800"
percent women,PT,3.31,2022,16.4%
total employment,RO,3.31,2022,"98,800"
percent women,RO,3.31,2022,23.3%
total employment,SE,3.31,2022,"256,000"
percent women,SE,3.31,2022,19.9%
total employment,SI,3.31,2022,"40,100"
percent women,SI,3.31,2022,19.4%
total employment,SK,3.31,2022,"128,100"
percent women,SK,3.31,2022,13.2%
total employment,EU,4,2022,"19,965,800"
percent women,EU,4,2022,66.3%
percent unemployed,EU,4,2022,2.8%
relative income,EU,4,2020,100%
total employment,AT,4,2022,"418,900"
percent women,AT,4,2022,70.2%
total employment,BE,4,2022,"618,000"
percent women,BE,4,2022,61.8%
total employment,BG,4,2022,"191,400"
percent women,BG,4,2022,73.5%
total employment,CY,4,2022,"51,600"
percent women,CY,4,2022,74.3%
total employment,CZ,4,2022,"448,300"
percent women,CZ,4,2022,77.3%
total employment,DE,4,2022,"5,546,600"
percent women,DE,4,2022,65.3%
total employment,DK,4,2022,"188,500"
percent women,DK,4,2022,69.6%
total employment,EE,4,2022,"46,300"
percent women,EE,4,2022,64.1%
total employment,EL,4,2022,"457,800"
percent women,EL,4,2022,55.8%
total employment,ES,4,2022,"2,142,400"
percent women,ES,4,2022,69.4%
total employment,FI,4,2022,"146,000"
percent women,FI,4,2022,70.6%
total employment,FR,4,2022,"2,333,200"
percent women,FR,4,2022,71.3%
total employment,HR,4,2022,"165,900"
percent women,HR,4,2022,67.3%
total employment,HU,4,2022,"377,900"
percent women,HU,4,2022,69.8%
total employment,IE,4,2022,"219,500"
percent women,IE,4,2022,75%
total employment,IT,4,2022,"2,945,600"
percent women,IT,4,2022,64%
total employment,LT,4,2022,"64,400"
percent women,LT,4,2022,73%
total employment,LU,4,2022,"19,100"
percent women,LU,4,2022,55.1%
total employment,LV,4,2022,"47,900"
percent women,LV,4,2022,70.2%
total employment,MT,4,2022,"30,000"
percent women,MT,4,2022,60.5%
total employment,NL,4,2022,"829,500"
percent women,NL,4,2022,59.2%
total employment,PL,4,2022,"1,202,600"
percent women,PL,4,2022,60.8%
total employment,PT,4,2022,"462,700"
percent women,PT,4,2022,67.9%
total employment,RO,4,2022,"376,200"
percent women,RO,4,2022,64.6%
total employment,SE,4,2022,"305,500"
percent women,SE,4,2022,60.6%
total employment,SI,4,2022,"70,800"
percent women,SI,4,2022,59%
total employment,SK,4,2022,"259,200"
percent women,SK,4,2022,78%
total employment,EU,4.43,2022,"6,034,300"
percent women,EU,4.43,2022,47.7%
percent unemployed,EU,4.43,2022,2.3%
relative income,EU,4.43,2020,102.3%
total employment,AT,4.43,2022,"121,800"
percent women,AT,4.43,2022,53.5%
total employment,BE,4.43,2022,"151,500"
percent women,BE,4.43,2022,38.1%
total employment,BG,4.43,2022,"76,500"
percent women,BG,4.43,2022,59.1%
total employment,CY,4.43,2022,"15,100"
percent women,CY,4.43,2022,58.8%
total employment,CZ,4.43,2022,"213,900"
percent women,CZ,4.43,2022,71.4%
total employment,DE,4.43,2022,"1,609,100"
percent women,DE,4.43,2022,43.5%
total employment,DK,4.43,2022,"54,200"
percent women,DK,4.43,2022,56.3%
total employment,EE,4.43,2022,"25,800"
percent women,EE,4.43,2022,54.8%
total employment,EL,4.43,2022,"67,600"
percent women,EL,4.43,2022,20.8%
total employment,ES,4.43,2022,"525,500"
percent women,ES,4.43,2022,54.4%
total employment,FI,4.43,2022,"42,300"
percent women,FI,4.43,2022,61%
total employment,FR,4.43,2022,"743,000"
percent women,FR,4.43,2022,51%
total employment,HR,4.43,2022,"77,800"
percent women,HR,4.43,2022,55.4%
total employment,HU,4.43,2022,"141,000"
percent women,HU,4.43,2022,50.6%
total employment,IE,4.43,2022,"57,500"
percent women,IE,4.43,2022,70%
total employment,IT,4.43,2022,"667,500"
percent women,IT,4.43,2022,47%
total employment,LT,4.43,2022,"25,700"
percent women,LT,4.43,2022,68.7%
total employment,LU,4.43,2022,"6,200"
percent women,LU,4.43,2022,37.1%
total employment,LV,4.43,2022,"22,900"
percent women,LV,4.43,2022,64.1%
total employment,NL,4.43,2022,"365,100"
percent women,NL,4.43,2022,43.2%
total employment,PL,4.43,2022,"489,000"
percent women,PL,4.43,2022,34.7%
total employment,PT,4.43,2022,"90,700"
percent women,PT,4.43,2022,25.8%
total employment,RO,4.43,2022,"131,200"
percent women,RO,4.43,2022,55%
total employment,SE,4.43,2022,"168,900"
percent women,SE,4.43,2022,52.2%
total employment,SI,4.43,2022,"27,200"
percent women,SI,4.43,2022,33%
total employment,SK,4.43,2022,"117,400"
percent women,SK,4.43,2022,66.9%
total employment,EU,4.42,2022,"3,656,300"
percent women,EU,4.42,2022,71.7%
percent unemployed,EU,4.42,2022,4.1%
relative income,EU,4.42,2020,96.4%
total employment,AT,4.42,2022,"67,900"
percent women,AT,4.42,2022,69.5%
total employment,BE,4.42,2022,"54,400"
percent women,BE,4.42,2022,65.8%
total employment,BG,4.42,2022,"51,700"
percent women,BG,4.42,2022,79.8%
total employment,CY,4.42,2022,"11,100"
percent women,CY,4.42,2022,69.6%
total employment,CZ,4.42,2022,"62,700"
percent women,CZ,4.42,2022,77.1%
total employment,DE,4.42,2022,"642,300"
percent women,DE,4.42,2022,63.1%
total employment,DK,4.42,2022,"34,300"
percent women,DK,4.42,2022,73%
total employment,EE,4.42,2022,"12,000"
percent women,EE,4.42,2022,83.9%
total employment,EL,4.42,2022,"75,900"
percent women,EL,4.42,2022,62.5%
total employment,ES,4.42,2022,"1,004,000"
percent women,ES,4.42,2022,76.9%
total employment,FI,4.42,2022,"42,500"
percent women,FI,4.42,2022,73.3%
total employment,FR,4.42,2022,"323,500"
percent women,FR,4.42,2022,75.9%
total employment,HR,4.42,2022,"37,200"
percent women,HR,4.42,2022,81%
total employment,HU,4.42,2022,"59,500"
percent women,HU,4.42,2022,72.4%
total employment,IE,4.42,2022,"50,100"
percent women,IE,4.42,2022,67.2%
total employment,IT,4.42,2022,"488,300"
percent women,IT,4.42,2022,65.6%
total employment,LT,4.42,2022,"14,300"
percent women,LT,4.42,2022,75.6%
total employment,LU,4.42,2022,"4,000"
percent women,LU,4.42,2022,61.1%
total employment,LV,4.42,2022,"14,200"
percent women,LV,4.42,2022,77%
total employment,NL,4.42,2022,"201,600"
percent women,NL,4.42,2022,68.9%
total employment,PL,4.42,2022,"148,200"
percent women,PL,4.42,2022,84.1%
total employment,PT,4.42,2022,"98,000"
percent women,PT,4.42,2022,74%
total employment,RO,4.42,2022,"58,300"
percent women,RO,4.42,2022,74%
total employment,SE,4.42,2022,"62,100"
percent women,SE,4.42,2022,71%
total employment,SI,4.42,2022,"12,400"
percent women,SI,4.42,2022,65.5%
total employment,SK,4.42,2022,"25,800"
percent women,SK,4.42,2022,80%
total employment,EU,4.41,2022,"8,577,900"
percent women,EU,4.41,2022,78.1%
percent unemployed,EU,4.41,2022,2.5%
relative income,EU,4.41,2020,101.3%
total employment,AT,4.41,2022,"203,900"
percent women,AT,4.41,2022,83.8%
total employment,BE,4.41,2022,"375,500"
percent women,BE,4.41,2022,72.6%
total employment,BG,4.41,2022,"42,200"
percent women,BG,4.41,2022,86.5%
total employment,CY,4.41,2022,"22,800"
percent women,CY,4.41,2022,87.2%
total employment,CZ,4.41,2022,"127,900"
percent women,CZ,4.41,2022,87.4%
total employment,DE,4.41,2022,"2,841,000"
percent women,DE,4.41,2022,78.8%
total employment,DK,4.41,2022,"78,700"
percent women,DK,4.41,2022,81.7%
total employment,EE,4.41,2022,"2,200"
percent women,EE,4.41,2022,89.4%
total employment,EL,4.41,2022,"297,100"
percent women,EL,4.41,2022,61.5%
total employment,ES,4.41,2022,"538,700"
percent women,ES,4.41,2022,72.9%
total employment,FI,4.41,2022,"35,800"
percent women,FI,4.41,2022,90.4%
total employment,FR,4.41,2022,"983,800"
percent women,FR,4.41,2022,86.2%
total employment,HR,4.41,2022,"39,100"
percent women,HR,4.41,2022,85%
total employment,HU,4.41,2022,"145,700"
percent women,HU,4.41,2022,88%
total employment,IE,4.41,2022,"33,000"
percent women,IE,4.41,2022,82.4%
total employment,IT,4.41,2022,"1,608,000"
percent women,IT,4.41,2022,71.8%
total employment,LT,4.41,2022,"10,900"
percent women,LT,4.41,2022,85.3%
total employment,LU,4.41,2022,"7,000"
percent women,LU,4.41,2022,70.2%
total employment,LV,4.41,2022,"8,700"
percent women,LV,4.41,2022,76.5%
total employment,NL,4.41,2022,"157,200"
percent women,NL,4.41,2022,81.8%
total employment,PL,4.41,2022,"455,800"
percent women,PL,4.41,2022,84.1%
total employment,PT,4.41,2022,"259,000"
percent women,PT,4.41,2022,82.5%
total employment,RO,4.41,2022,"148,800"
percent women,RO,4.41,2022,70.7%
total employment,SE,4.41,2022,"50,200"
percent women,SE,4.41,2022,80.8%
total employment,SI,4.41,2022,"23,900"
percent women,SI,4.41,2022,88.2%
total employment,SK,4.41,2022,"80,900"
percent women,SK,4.41,2022,89.3%
total employment,EU,4.44,2022,"1,639,600"
percent women,EU,4.44,2022,60.7%
percent unemployed,EU,4.44,2022,3.2%
relative income,EU,4.44,2020,94%
total employment,AT,4.44,2022,"25,300"
percent women,AT,4.44,2022,42.7%
total employment,BE,4.44,2022,"36,700"
percent women,BE,4.44,2022,43.9%
total employment,BG,4.44,2022,"21,000"
percent women,BG,4.44,2022,84.4%
total employment,CY,4.44,2022,"2,500"
percent women,CY,4.44,2022,72.2%
total employment,CZ,4.44,2022,"43,700"
percent women,CZ,4.44,2022,77.2%
total employment,DE,4.44,2022,"454,100"
percent women,DE,4.44,2022,60.8%
total employment,DK,4.44,2022,"21,300"
percent women,DK,4.44,2022,52.8%
total employment,EE,4.44,2022,"6,200"
percent women,EE,4.44,2022,55.5%
total employment,EL,4.44,2022,"17,200"
