isco_3digit,group_label,ai_product_exposure_score,onet_4digit,webb_exposure_score,felten_exposure_score
216,"Architects, planners, surveyors and designers",0.16946412833759192,27-10,67.9090909090909,0.1990909090909091
524,Other sales workers,0.07209398010214887,41-20,20.2,-0.0502
441,Other clerical support workers,0.05527388787146045,43-50,37,-0.1807272727272727
315,Ship and aircraft controllers and technicians,0.02183302417158787,53-20,45,0.0974
742,Electronics and telecommunications installers and repairers,-0.009563816914559898,49-20,61.833333333333336,-0.6107272727272727
722,"Blacksmiths, toolmakers and related trades workers",-0.040230452469399804,51-40,71,-0.9209999999999999
411,General office clerks,-0.08565800779334998,43-90,58.6,0.46255555555555555
313,Process control technicians,-0.08888374587215864,51-80,93.36363636363636,-0.1938888888888889
511,"Travel attendants, conductors and guides",-0.1520845969301136,53-60,75.5,-0.47450000000000003
753,Garment and related trades workers,-0.19854557757038024,51-60,64.07142857142857,-0.9853571428571428
815,"Textile, fur and leather products machine operators",-0.2188037340007028,51-60,64.07142857142857,-0.9853571428571428
264,"Authors, journalists and linguists",-0.2937191037545936,27-30,21,1.0623333333333334
412,Secretaries (general),-0.3039367383679783,43-60,9,1.103
131,"Production managers in agriculture, forestry and fisheries",-0.31948221404887767,19-10,76.33333333333333,0.7291666666666666
516,Other personal services workers,-0.37860350639734586,39-20,47,-0.903
541,Protective services workers,-0.37905738297748504,33-90,60,-0.122875
741,Electrical equipment installers and repairers,-0.38332941911102175,49-20,61.833333333333336,-0.6107272727272727
612,Animal producers,-0.38822930053508187,45-20,91.42857142857143,-1.0165
621,Forestry and related workers,-0.3970792125017938,19-10,76.33333333333333,0.7291666666666666
421,"Tellers, money collectors and related clerks",-0.4356568417087075,39-30,42.42857142857143,-0.20257142857142857
812,Metal processing and finishing plant operators,-0.45106584828631036,51-40,71,-0.9209999999999999
723,Machinery mechanics and repairers,-0.485415694544628,49-30,43.2,-1.055
613,Mixed crop and animal producers,-0.53367830415655515,11-90,71.53333333333333,0.6279090909090909
831,Locomotive engine drivers and related workers,-0.5935050157118902,53-40,83.5,-0.7335
531,Child care workers and teachers’ aides,-0.6125144922811664,25-90,45.4,0.76625
732,Printing trades workers,-0.6278934641763645,51-51,92.33333333333333,-0.4013333333333333
343,"Artistic, cultural and culinary associate professionals",-0.645592491323625,27-40,81.14285714285714,0.2684285714285714
834,Mobile plant operators,-0.6894307209409488,47-20,47.411764705882355,-1.4614375
522,Shop salespersons,-0.7313407595342428,41-20,20.2,-0.0502
817,Wood processing and papermaking plant operators,-0.7451794946263963,51-70,61,-1.101
933,Transport and storage labourers,-0.7757728022503059,53-70,67.53333333333333,-1.1589333333333334
721,"Sheet and structural metal workers, moulders and welders, and related workers",-0.7845331438905115,49-90,49.61538461538461,-0.92736
833,Heavy truck and bus drivers,-0.7913737575961527,53-30,36.42857142857143,-0.7662857142857142
821,Assemblers,-0.7975500579802551,51-20,52.666666666666664,-0.7948888888888889
832,"Car, van and motorcycle drivers",-0.8272317082203648,53-30,36.42857142857143,-0.7662857142857142
952,Street vendors (excluding food),-0.8604387799247547,41-90,36.857142857142854,0.6267142857142857
961,Refuse workers,-0.9044122446896931,53-70,67.53333333333333,-1.1589333333333334
611,Market gardeners and crop growers,-0.938176624514618,37-30,52,-1.4786666666666668
712,Building finishers and related trades workers,-0.952643085098315,47-20,47.411764705882355,-1.4614375
514,"Hairdressers, beauticians and related workers",-0.957814164012419,39-50,23.666666666666668,-0.5008333333333334
713,"Painters, building structure cleaners and related trades workers",-0.9612590031897946,47-21,46.083333333333336,-1.4727272727272727
265,Creative and performing artists,-0.985244055941829,27-20,36.93333333333333,-0.44433333333333336
352,Telecommunications and broadcasting technicians,-1.0188143228490292,27-40,81.14285714285714,0.2684285714285714
