onet_id,onet_title,ai_product_exposure_score,esco_title
53-7061.00,Cleaners of Vehicles and Equipment,0.1644736842105263,"aircraft groomer,, train cleaner,, vehicle cleaner"
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",0.17522319973932876,"materials handler,, mover,, stevedore"
53-7062.04,Recycling and Reclamation Workers,0.22150544757810203,"dismantling worker,, hazardous waste technician,, liquid waste treatment plant operator,, recycling specialist,, recycling worker,, refuse collector,, solid waste operator,, sorter labourer"
53-7063.00,Machine Feeders and Offbearers,0.12903225806451613,animal feed operator
53-7064.00,"Packers and Packagers, Hand",0.22499999999999998,"clothing finisher,, hand packer"
53-7065.00,Stockers and Order Fillers,0.3194402673350042,"footwear factory warehouse operator,, inventory coordinator,, raw materials warehouse specialist,, shelf filler,, warehouse operators for clothing,, warehouse order picker,, warehouse worker"
53-7071.00,Gas Compressor and Gas Pumping Station Operators,0.4525793650793651,"gas processing plant control room operator,, gas processing plant operator,, gas station operator,, gas transmission system operator"
53-7072.00,"Pump Operators, Except Wellhead Pumpers",0.3855624568668047,"dewatering technician,, gas station operator,, gauger,, petroleum pump system operator,, pipeline pump operator"
53-7073.00,Wellhead Pumpers,0.28262917207016586,"derrickhand,, gauger,, oil rig motorhand,, petroleum pump system operator,, pipeline pump operator,, roughneck,, well-digger"
53-7081.00,Refuse and Recyclable Material Collectors,0.2523496240601504,"recycling worker,, refuse collector,, refuse vehicle driver,, sorter labourer"
53-7121.00,"Tank Car, Truck, and Ship Loaders",0.6,petroleum pump system operator
